block,cue_direction,cue_text,probe_image_file,correct_response,block_raw,correct_response_raw,cue_direction_raw,cue_text_raw,key_resp_break.duration_raw,key_resp_break.keys_raw,key_resp_break.rt_raw,key_resp_probe.corr_raw,key_resp_probe.duration_raw,key_resp_probe.keys_raw,key_resp_probe.rt_raw,key_resp_rating.duration_raw,key_resp_rating.keys_raw,key_resp_rating.rt_raw,probe_image_file_raw,rating_vividness.response_raw,rating_vividness.rt_raw,thisN_raw,thisRepN_raw,thisTrialN_raw
3,forward,1 ->,stimuli/face.png,1,2,1,forward,1 ->,nan,,nan,1,,1,2.222111999988556,,4,0.1124418000690639,stimuli/face.png,,,69,0,69
3,backward,<- 4,stimuli/new2.png,2,2,1,forward,1 ->,nan,,nan,1,,1,2.3125846998300403,,3,0.6229409999214113,stimuli/face.png,,,70,0,70
3,forward,1 ->,stimuli/zèbre.png,1,3,2,backward,<- 4,nan,,nan,1,,2,2.8593401000835,,2,0.6140653998591006,stimuli/face_lure.png,,,71,0,71
3,backward,<- 4,stimuli/face_lure.png,2,2,2,backward,<- 4,nan,,nan,1,,2,2.2198175999801606,,2,0.15711889998055995,stimuli/scissor_lure.png,,,72,0,72
3,backward,<- 4,stimuli/new2.png,2,3,2,backward,<- 4,nan,,nan,1,,2,2.465294500114396,,2,0.5402334001846611,stimuli/face_lure.png,,,73,0,73
3,forward,1 ->,stimuli/face.png,1,3,1,forward,1 ->,nan,,nan,1,,1,2.232631399994716,,2,0.2810172000899911,stimuli/ciseau.png,,,74,0,74
3,backward,<- 4,stimuli/banana_lure.png,2,3,1,forward,1 ->,nan,,nan,1,,1,2.2394044001121074,,2,0.1975235000718385,stimuli/zèbre.png,,,75,0,75
3,backward,<- 4,stimuli/banana_lure.png,2,3,1,forward,1 ->,nan,,nan,1,,1,2.297650699969381,,3,0.6559365000575781,stimuli/face.png,,,76,0,76
3,backward,<- 4,stimuli/scissor_lure.png,2,3,1,forward,1 ->,nan,,nan,1,,1,2.2607048000209033,,4,0.18025989993475378,stimuli/face.png,,,77,0,77
3,backward,<- 4,stimuli/new4.png,2,2,2,backward,<- 4,nan,,nan,1,,2,2.47002729983069,,3,1.3231828000862151,stimuli/scissor_lure.png,,,78,0,78
3,forward,1 ->,stimuli/ciseau.png,1,1,2,backward,<- 4,nan,,nan,1,,2,2.300549300154671,,2,0.6275770000647753,stimuli/new4.png,,,79,0,79
3,backward,<- 4,stimuli/new4.png,2,2,2,backward,<- 4,nan,,nan,1,,2,2.7380532000679523,,3,0.5106424998957664,stimuli/new1.png,,,80,0,80
3,forward,1 ->,stimuli/banane.png,1,3,1,forward,1 ->,nan,,nan,1,,1,2.1786122999619693,,3,0.5955988001078367,stimuli/banane.png,,,81,0,81
3,backward,<- 4,stimuli/new2.png,2,3,1,forward,1 ->,nan,,nan,1,,1,2.736637599999085,,3,1.3346681999973953,stimuli/zèbre.png,,,82,0,82
