image_file,presented_word,is_match,blank_duration,iti_duration,corrAns,thisN,thisTrialN,thisRepN,inside_loop_trials.thisRepN,inside_loop_trials.thisTrialN,inside_loop_trials.thisN,inside_loop_trials.thisIndex,thisRow.t,notes,setup_experiment.started,instr_text.started,instr_resp.started,setup_experiment.stopped,instr_resp.keys,instr_resp.rt,instr_resp.duration,start_eeg.started,text_2.started,key_resp_3.started,start_eeg.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,load_images.started,text_3.started,preload_current_image_2.started,participant,session,date,expName,psychopyVersion,frameRate,match_key,mismatch_key,allowed_keys_list,expStart,
,,,,,,,,,,,,,,,0.007639799965545535,0.021511900005862117,0.021511900005862117,2.8410450000083074,space,2.7520798000041395,None,,,,,,,,,,,sub-005,001,2025-06-16_09h59.44.603,FunctionalLocalizer,2024.2.4,60.16923199568594,2,1,"['2', '1']",2025-06-16 09h59.53.045363 -0400,
,,,,,,,,,,,,,,,,,,,,,,2.8410947000375018,2.85404310002923,2.85404310002923,3.624495099997148,space,0.7686011000769213,None,,,,sub-005,001,2025-06-16_09h59.44.603,FunctionalLocalizer,2024.2.4,60.16923199568594,2,1,"['2', '1']",2025-06-16 09h59.53.045363 -0400,
stimuli/ciseau.png,zèbre,mismatch,1.86,1.43,1,0,0,0,0,0,0,0,3.703776999958791,,,,,,,,,,,,,,,,3.689612500020303,3.703776999958791,0.06511379999574274,,,,,,,,,,,
