image_file,presented_word,is_match,blank_duration,iti_duration,corrAns,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,finish_time.keys,key_resp.rt,key_resp.duration,finish_time.rt,finish_time.duration,inside_loop_trials.thisRepN,inside_loop_trials.thisTrialN,inside_loop_trials.thisN,inside_loop_trials.thisIndex,thisRow.t,notes,setup_experiment.started,instr_text.started,instr_resp.started,setup_experiment.stopped,instr_resp.keys,instr_resp.rt,instr_resp.duration,start_eeg.started,text_2.started,key_resp_3.started,text_2.stopped,start_eeg.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,load_images.started,text_3.started,preload_current_image_2.started,load_images.stopped,fixation_2.started,fixation.started,fixation.stopped,fixation_2.stopped,trials_image.started,stim_image.started,stim_image.stopped,trials_image.stopped,trials_word.started,stim_word.started,stim_word.stopped,trials_word.stopped,blank.started,blank_interval.started,blank_interval.stopped,blank.stopped,response.started,key_resp.started,text.started,key_resp.stopped,text.stopped,response.stopped,inside_loop_trials.key_resp.keys,inside_loop_trials.key_resp.corr,image_presented,word_presented,is_match_condition,response_given,response_correct,response_rt,feedback_message_to_show,show_feedback_flag_value,feedback_routine.started,feedback_text_display.started,feedback_text_display.stopped,feedback_routine.stopped,iti_routine.started,iti_fixation.started,iti_fixation.stopped,iti_routine.stopped,break_2.started,break_2.stopped,inside_loop_trials.finish_time.keys,text_3.stopped,inside_loop_trials.key_resp.rt,inside_loop_trials.key_resp.duration,timer_text.started,finish_time.started,inside_loop_trials.finish_time.rt,inside_loop_trials.finish_time.duration,participant,session,date,expName,psychopyVersion,frameRate,match_key,mismatch_key,allowed_keys_list,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.01647400000001653,0.030120800001895986,0.030120800001895986,7.023593000001711,space,6.989070899999206,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,001,2025-06-10_15h24.05.961,FunctionalLocalizer,2024.2.4,61.28701505877722,1,2,"['1', '2']",2025-06-10 15h25.06.550769 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.150027600000612,7.154452200000378,7.154452200000378,8.168970000002446,9.570022100000642,space,2.408165700002428,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-088,001,2025-06-10_15h24.05.961,FunctionalLocalizer,2024.2.4,61.28701505877722,1,2,"['1', '2']",2025-06-10 15h25.06.550769 -0400,
stimuli/zebra.png,scissor,mismatch,1.29,1.68,2,0,0,0,None,0,None,,,,,0,0,0,0,9.590573500001483,,,,,,,,,,,,,,,,,9.587198900000658,9.590573500001483,0.017153299999336014,10.078674399999727,10.078715900002862,10.08517159999974,10.585515200000373,10.569666200000938,10.572310200001084,10.585515200000373,11.585488500000793,11.569636200001696,11.569970700002159,11.585488500000793,12.585579300000973,12.569533900001261,12.57002420000208,12.585579300000973,14.185265500000241,14.169301000001724,14.176589900002,14.185265500000241,14.185265500000241,16.185251500002778,16.185251500002778,16.169300400000793,None,0,stimuli/zebra.png,scissor,mismatch,None,0,None,Délai de réponse dépassé. Veuillez répondre rapidement.,True,16.17496140000003,16.185251500002778,17.685432500002207,17.669224600002053,17.671027700002014,17.685432500002207,19.36874650000027,19.3525410000002,19.352590000002238,19.35262960000182,None,,,,,,,,sub-088,001,2025-06-10_15h24.05.961,FunctionalLocalizer,2024.2.4,61.28701505877722,1,2,"['1', '2']",2025-06-10 15h25.06.550769 -0400,
stimuli/scissor.png,scissor,match,1.85,2.09,1,1,1,0,1,1,None,0.6109448000024713,None,,,0,1,1,1,19.36874650000027,,,,,,,,,,,,,,,,,19.352843700002268,19.36874650000027,0.00021500000002561137,19.852279000002454,19.852319699999498,19.868591000002198,20.368710300001112,20.35215380000227,20.353276100002404,20.368710300001112,21.368704600001365,21.352284399999917,21.352522100001806,21.368704600001365,22.368793900001037,22.35252330000003,22.35274130000107,22.368793900001037,24.368486499999563,24.352571200000966,24.35279730000184,24.368486499999563,24.368486499999563,,,24.986419700002443,1,1,stimuli/scissor.png,scissor,match,1,1,0.6109448000024713,,False,24.98744930000248,,,24.987490999999864,24.987533900002745,25.002072499999485,27.10301579999941,27.090806500000326,27.090827800002444,27.090841100001853,None,19.868591000002198,0.6109448000024713,None,,,,,sub-088,001,2025-06-10_15h24.05.961,FunctionalLocalizer,2024.2.4,61.28701505877722,1,2,"['1', '2']",2025-06-10 15h25.06.550769 -0400,
stimuli/face.png,banana,mismatch,1.99,2.32,2,2,2,0,2,1,None,0.487637199999881,None,,,0,2,2,2,27.10301579999941,,,,,,,,,,,,,,,,,27.09092530000271,27.10301579999941,8.209999941755086e-05,27.594062300002406,27.594082499999786,27.60287360000075,28.102037600001495,28.085916899999575,28.088111500001105,28.102037600001495,29.102013200001238,29.08584420000261,29.086068100001285,29.102013200001238,30.10203940000065,30.08573819999947,30.08596630000102,30.10203940000065,31.90724609999961,31.886252100001002,31.886370200001693,31.90724609999961,31.90724609999961,,,32.40329209999982,2,1,stimuli/face.png,banana,mismatch,2,1,0.487637199999881,,False,32.403662100001384,,,32.403703800002404,32.40374370000063,32.41873459999988,34.75195730000269,34.73583530000178,34.73588759999984,34.7359249000001,None,,0.487637199999881,None,,,,,sub-088,001,2025-06-10_15h24.05.961,FunctionalLocalizer,2024.2.4,61.28701505877722,1,2,"['1', '2']",2025-06-10 15h25.06.550769 -0400,
stimuli/face.png,zebra,mismatch,1.81,1.67,2,3,3,0,2,1,None,0.5510572999992291,None,,,0,3,3,3,34.75195730000269,,,,,,,,,,,,,,,,,34.73613889999979,34.75195730000269,0.00021639999977196567,35.23569630000202,35.235743000001094,35.25182080000013,35.75193860000218,35.73564900000201,35.73829990000013,35.75193860000218,36.75199600000269,36.735795900000085,36.73613640000258,36.75199600000269,37.75191470000209,37.735955100000865,37.73617419999937,37.75191470000209,39.251880300002085,39.23558700000285,39.235829700002796,39.251880300002085,39.251880300002085,,,39.81981730000189,2,1,stimuli/face.png,zebra,mismatch,2,1,0.5510572999992291,,False,39.82033610000144,,,39.82037390000187,39.820410600001196,39.83503589999964,41.5184706,41.50259320000259,41.502655700001924,41.502695800001675,None,35.25182080000013,0.5510572999992291,None,,,,,sub-088,001,2025-06-10_15h24.05.961,FunctionalLocalizer,2024.2.4,61.28701505877722,1,2,"['1', '2']",2025-06-10 15h25.06.550769 -0400,
stimuli/scissor.png,scissor,match,1.65,1.69,1,4,4,0,1,1,None,0.6589401000019279,None,,,0,4,4,4,41.5184706,,,,,,,,,,,,,,,,,41.50291410000136,41.5184706,0.00022170000011101365,42.00230240000019,42.002346600002056,42.01844759999949,42.51855720000094,42.502395600000455,42.504920200000925,42.51855720000094,43.51858020000145,43.502667500000825,43.503036600002815,43.51858020000145,44.519511700000294,44.50363930000094,44.50409779999973,44.519511700000294,46.4405184999996,46.41914950000137,46.41955940000116,46.4405184999996,46.4405184999996,,,47.102978099999746,1,1,stimuli/scissor.png,scissor,match,1,1,0.6589401000019279,,False,47.103344000002835,,,47.103378700001485,47.103414500001236,47.11855280000236,48.81857239999954,48.802491099999315,48.80255600000237,48.802596400000766,None,42.01844759999949,0.6589401000019279,None,,,,,sub-088,001,2025-06-10_15h24.05.961,FunctionalLocalizer,2024.2.4,61.28701505877722,1,2,"['1', '2']",2025-06-10 15h25.06.550769 -0400,
stimuli/banana.png,scissor,mismatch,1.2,1.62,2,5,5,0,2,1,None,0.756962299998122,None,,,0,5,5,5,48.81857239999954,,,,,,,,,,,,,,,,,48.80282430000079,48.81857239999954,0.0002299999978276901,49.30217790000097,49.30223230000047,49.3182925000001,49.81862820000242,49.80259719999958,49.80523549999998,49.81862820000242,50.818534900001396,50.802520500001265,50.80284240000037,50.818534900001396,51.8182882000001,51.80245190000278,51.80257460000212,51.8182882000001,53.31843520000257,53.3023174000009,53.30254980000245,53.31843520000257,53.31843520000257,,,54.08614010000019,2,1,stimuli/banana.png,scissor,mismatch,2,1,0.756962299998122,,False,54.08666910000102,,,54.086710600000515,54.086749100002635,54.10179260000223,55.73512860000119,55.718777100002626,55.71882900000128,55.71886649999942,None,49.3182925000001,0.756962299998122,None,,,,,sub-088,001,2025-06-10_15h24.05.961,FunctionalLocalizer,2024.2.4,61.28701505877722,1,2,"['1', '2']",2025-06-10 15h25.06.550769 -0400,
stimuli/scissor.png,scissor,match,1.9,2.33,1,6,6,0,2,0,None,0.8271119999990333,None,,,0,6,6,6,55.73512860000119,,,,,,,,,,,,,,,,,55.719078199999785,55.73512860000119,0.00021240000205580145,56.21885480000128,56.21889890000239,56.23497839999982,,56.723743900001864,56.72472310000012,56.740468600000895,57.75166750000062,57.735498500001995,57.73569580000185,57.75166750000062,58.75174759999936,58.735590300002514,58.73578610000186,58.75174759999936,60.35173230000146,60.33554410000215,60.33578210000269,60.35173230000146,60.35173230000146,,,61.186229200000525,2,0,stimuli/scissor.png,scissor,match,2,0,0.8271119999990333,Mauvaise réponse,True,61.190816900001664,61.20153650000066,62.7012973000019,62.685557799999515,62.685621399999945,62.7012973000019,65.04043660000025,65.01880309999979,65.01886990000276,65.01891120000073,None,56.23497839999982,0.8271119999990333,None,,,,,sub-088,001,2025-06-10_15h24.05.961,FunctionalLocalizer,2024.2.4,61.28701505877722,1,2,"['1', '2']",2025-06-10 15h25.06.550769 -0400,
stimuli/face.png,scissor,mismatch,1.28,2.77,2,7,7,0,2,1,None,0.8959613999977591,None,,,0,7,7,7,65.04043660000025,,,,,,,,,,,,,,,,,65.01914559999932,65.04043660000025,0.0002339000020583626,65.52477420000287,65.52479570000287,65.53546450000067,,66.01899520000006,66.02010820000214,66.03455110000141,67.03492870000264,67.01888510000208,67.01932890000171,67.03492870000264,68.0345997000004,68.02370770000198,68.02390450000166,68.0345997000004,69.2350073000016,69.21880020000026,69.21915920000174,69.2350073000016,69.2350073000016,,,70.13599579999936,2,1,stimuli/face.png,scissor,mismatch,2,1,0.8959613999977591,,False,70.13706509999975,,,70.1371078000011,70.13714810000238,70.15144900000087,72.93482980000044,72.92081719999987,72.92087000000174,72.92090760000065,None,,0.8959613999977591,None,,,,,sub-088,001,2025-06-10_15h24.05.961,FunctionalLocalizer,2024.2.4,61.28701505877722,1,2,"['1', '2']",2025-06-10 15h25.06.550769 -0400,
