image_file,presented_word,is_match,blank_duration,iti_duration,corrAns,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,finish_time.keys,finish_time.rt,finish_time.duration,inside_loop_trials.thisRepN,inside_loop_trials.thisTrialN,inside_loop_trials.thisN,inside_loop_trials.thisIndex,thisRow.t,notes,setup_experiment.started,instr_text.started,instr_resp.started,setup_experiment.stopped,instr_resp.keys,instr_resp.rt,instr_resp.duration,start_eeg.started,text_2.started,key_resp_3.started,start_eeg.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,load_images.started,text_3.started,preload_current_image_2.started,load_images.stopped,fixation_2.started,fixation.started,fixation_2.stopped,trials_image.started,stim_image.started,stim_image.stopped,trials_image.stopped,trials_word.started,stim_word.started,stim_word.stopped,trials_word.stopped,blank.started,blank_interval.started,blank_interval.stopped,blank.stopped,response.started,key_resp.started,text.started,response.stopped,inside_loop_trials.key_resp.keys,inside_loop_trials.key_resp.corr,inside_loop_trials.key_resp.rt,inside_loop_trials.key_resp.duration,image_presented,word_presented,is_match_condition,response_given,response_correct,response_rt,feedback_message_to_show,show_feedback_flag_value,feedback_routine.started,feedback_routine.stopped,iti_routine.started,iti_fixation.started,iti_fixation.stopped,iti_routine.stopped,break_2.started,break_2.stopped,inside_loop_trials.finish_time.keys,text_3.stopped,fixation.stopped,feedback_text_display.started,feedback_text_display.stopped,timer_text.started,finish_time.started,inside_loop_trials.finish_time.rt,inside_loop_trials.finish_time.duration,end.started,end_text.started,key_resp_2.started,end.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,participant,session,date,expName,psychopyVersion,frameRate,match_key,mismatch_key,allowed_keys_list,expStart,
,,,,,,,,,,,,,,,,,,,,,,0.05705000017769635,0.06629650015383959,0.06629650015383959,5.010257099987939,space,4.940689200069755,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_13h51.59.585,FunctionalLocalizer,2024.2.4,115.53561165268717,1,2,"['1', '2']",2025-06-25 13h53.02.593239 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.07548680016771,5.087399200070649,5.087399200070649,5.950363600160927,space,0.855956899933517,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_13h51.59.585,FunctionalLocalizer,2024.2.4,115.53561165268717,1,2,"['1', '2']",2025-06-25 13h53.02.593239 -0400,
stimuli/zèbre.png,banane,mismatch,1.19,2.62,2,0,0,0,2,1,0.6214236000087112,None,None,,,0,0,0,0,5.975023000035435,,,,,,,,,,,,,,,,5.965653800172731,5.975023000035435,0.015290800016373396,6.46789460000582,6.467936400091276,6.479081700090319,6.95818810001947,6.959294200176373,6.9709062001202255,7.962449399987236,7.954207299975678,7.954306100029498,7.962449399987236,8.958116800058633,8.95013130013831,8.950248399982229,8.958116800058633,10.353947800118476,10.341617400059476,10.346047700149938,10.353947800118476,10.353947800118476,10.979429900180548,2,1,0.6214236000087112,None,stimuli/zèbre.png,banane,mismatch,2,1,0.6214236000087112,,False,10.97957790014334,10.97959030000493,10.979601700091735,10.98781289998442,13.604063800070435,13.596078300150111,13.596100900089368,13.596115600084886,None,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_13h51.59.585,FunctionalLocalizer,2024.2.4,115.53561165268717,1,2,"['1', '2']",2025-06-25 13h53.02.593239 -0400,
stimuli/face.png,face,match,1.35,1.12,1,1,1,0,1,1,0.4241055999882519,None,None,,,0,1,1,1,13.604063800070435,,,,,,,,,,,,,,,,13.596198900137097,13.604063800070435,8.319993503391743e-05,14.096431500045583,14.096463900059462,14.104042800143361,14.587489700177684,14.588497600052506,14.595970900030807,15.587314000120386,15.579003500053659,15.579091400140896,15.587314000120386,16.583238700171933,16.574951200047508,16.57514249999076,16.583238700171933,18.574728399980813,18.566632700152695,18.56674490007572,18.574728399980813,18.574728399980813,19.004357500001788,1,1,0.4241055999882519,None,stimuli/face.png,face,match,1,1,0.4241055999882519,,False,19.00448980019428,19.00450100004673,19.004512600135058,19.012514300178736,20.12890940019861,20.121029200032353,20.121051100082695,20.12106390018016,None,14.104042800143361,14.595970900030807,,,,,,,,,,,,,,sub-098,001,2025-06-25_13h51.59.585,FunctionalLocalizer,2024.2.4,115.53561165268717,1,2,"['1', '2']",2025-06-25 13h53.02.593239 -0400,
stimuli/ciseau.png,zèbre,mismatch,1.15,2.82,2,2,2,0,2,1,0.3546263000462204,None,None,,,0,2,2,2,20.12890940019861,,,,,,,,,,,,,,,,20.12114390009083,20.12890940019861,7.960014045238495e-05,20.625112200155854,20.62515790015459,20.6334883000236,21.116908899974078,21.117884800070897,21.124717600177974,22.116663300199434,22.108260200126097,22.108381500001997,22.116663300199434,23.11216270015575,23.104145199991763,23.104242200031877,23.11216270015575,24.70849940017797,24.699764700140804,24.699888600036502,24.70849940017797,24.70849940017797,25.071222900180146,2,1,0.3546263000462204,None,stimuli/ciseau.png,zèbre,mismatch,2,1,0.3546263000462204,,False,25.071369200013578,25.07138240011409,25.071395199978724,25.07892070012167,27.891301200026646,27.883154300041497,27.883177099982277,27.883190100081265,None,,21.124717600177974,,,,,,,,,,,,,,sub-098,001,2025-06-25_13h51.59.585,FunctionalLocalizer,2024.2.4,115.53561165268717,1,2,"['1', '2']",2025-06-25 13h53.02.593239 -0400,
stimuli/face.png,banane,mismatch,1.4,1.59,2,3,3,0,2,1,0.30478679994121194,None,None,,,0,3,3,3,27.891301200026646,,,,,,,,,,,,,,,,27.883271099999547,27.891301200026646,7.990002632141113e-05,28.38732450013049,28.387345400173217,28.395493700169027,28.878987099975348,28.879965499974787,28.887508200015873,29.878629900049418,29.871263400185853,29.871370100183412,29.878629900049418,30.874616499990225,30.866829700069502,30.8669443000108,30.874616499990225,32.8707230000291,32.86227899999358,32.862417600117624,32.8707230000291,32.8707230000291,33.17911300016567,2,1,0.30478679994121194,None,stimuli/face.png,banane,mismatch,2,1,0.30478679994121194,,False,33.179255000082776,33.17926780018024,33.17928000004031,33.18706520018168,34.77023520017974,34.7623589001596,34.762382300104946,34.76239600009285,None,,28.887508200015873,,,,,,,,,,,,,,sub-098,001,2025-06-25_13h51.59.585,FunctionalLocalizer,2024.2.4,115.53561165268717,1,2,"['1', '2']",2025-06-25 13h53.02.593239 -0400,
stimuli/zèbre.png,zèbre,match,1.25,2.88,1,4,4,0,1,1,0.31357549992389977,None,None,,,0,4,4,4,34.77023520017974,,,,,,,,,,,,,,,,34.762481400044635,34.77023520017974,8.510006591677666e-05,35.266200800193474,35.266221600119025,35.27489320002496,35.76223039999604,35.763268399983644,35.77027350012213,36.76624090014957,36.75815890007652,36.75828040018678,36.76624090014957,37.757798600010574,37.74973909999244,37.74986029998399,37.757798600010574,38.94992520008236,38.94166220002808,38.942254499997944,38.94992520008236,38.94992520008236,39.26676869997755,1,1,0.31357549992389977,None,stimuli/zèbre.png,zèbre,match,1,1,0.31357549992389977,,False,39.266911500133574,39.26692429999821,39.266936799976975,39.27451480017044,42.14535910007544,42.137477500131354,42.137501700082794,42.137514900183305,None,,35.77027350012213,,,,,,,,,,,,,,sub-098,001,2025-06-25_13h51.59.585,FunctionalLocalizer,2024.2.4,115.53561165268717,1,2,"['1', '2']",2025-06-25 13h53.02.593239 -0400,
stimuli/ciseau.png,ciseau,match,1.49,2.66,1,5,5,0,1,1,0.44024290004745126,None,None,,,0,5,5,5,42.14535910007544,,,,,,,,,,,,,,,,42.13759550009854,42.14535910007544,8.059991523623466e-05,42.63814980001189,42.638197200139984,42.645762300118804,43.129262200091034,43.1302685001865,43.13690280006267,44.13298059999943,44.124791600042954,44.12489810003899,44.13298059999943,45.12835060013458,45.120299000060186,45.12084660003893,45.12835060013458,46.918999599991366,46.91504970006645,46.91517020016909,46.918999599991366,46.918999599991366,47.36113980016671,1,1,0.44024290004745126,None,stimuli/ciseau.png,ciseau,match,1,1,0.44024290004745126,,False,47.36126899998635,47.36128280009143,47.36129510006867,47.364827800076455,50.014811400091276,50.01032440015115,50.01034800009802,50.01036040019244,None,42.645762300118804,43.13690280006267,,,,,,,,,,,,,,sub-098,001,2025-06-25_13h51.59.585,FunctionalLocalizer,2024.2.4,115.53561165268717,1,2,"['1', '2']",2025-06-25 13h53.02.593239 -0400,
stimuli/banane.png,face,mismatch,1.77,2.58,2,6,6,0,2,1,0.5177420999389142,None,None,,,0,6,6,6,50.014811400091276,,,,,,,,,,,,,,,,50.01044180011377,50.014811400091276,8.040014654397964e-05,50.511870300164446,50.51189190009609,50.52033730014227,51.00409760000184,51.005045800004154,51.011925200000405,52.007758300052956,51.99970929999836,51.999936500098556,52.007758300052956,52.999422300141305,52.99110440001823,52.99121410003863,52.999422300141305,54.48980600014329,54.48583720019087,54.4859794001095,54.48980600014329,54.48980600014329,55.01088530011475,2,1,0.5177420999389142,None,stimuli/banane.png,face,mismatch,2,1,0.5177420999389142,,False,55.01103599998169,55.01104890019633,55.01106130005792,55.014749200083315,57.58138870005496,57.577437800122425,57.577462300192565,57.57747630006634,None,,51.011925200000405,,,,,,,,,,,,,,sub-098,001,2025-06-25_13h51.59.585,FunctionalLocalizer,2024.2.4,115.53561165268717,1,2,"['1', '2']",2025-06-25 13h53.02.593239 -0400,
stimuli/ciseau.png,face,mismatch,1.09,2.94,2,7,7,0,2,1,0.913056000135839,None,None,,,0,7,7,7,57.58138870005496,,,,,,,,,,,,,,,,57.57755869999528,57.58138870005496,8.130003698170185e-05,58.07891060016118,58.07893180008978,58.08679760014638,58.570679099997506,58.57169290003367,58.57841380010359,59.57437749998644,59.566450300160795,59.56660330016166,59.57437749998644,60.56635219999589,60.558079099981114,60.558201000094414,60.56635219999589,61.66177250002511,61.653679999988526,61.6537850999739,61.66177250002511,61.66177250002511,62.58321560011245,2,1,0.913056000135839,None,stimuli/ciseau.png,face,mismatch,2,1,0.913056000135839,,False,62.5833676001057,62.58338070008904,62.58339280006476,62.59102370007895,65.52455219998956,65.51654350012541,65.51656780019403,65.51658020005561,None,,58.57841380010359,,,,,,,,,,,,,,sub-098,001,2025-06-25_13h51.59.585,FunctionalLocalizer,2024.2.4,115.53561165268717,1,2,"['1', '2']",2025-06-25 13h53.02.593239 -0400,
