block,cue_direction,cue_text,probe_image_file,correct_response,thisN,thisTrialN,thisRepN,trials_loop.thisRepN,trials_loop.thisTrialN,trials_loop.thisN,trials_loop.thisIndex,thisRow.t,notes,instr_task.started,task_instr_text.started,quit_instr.started,instr_task.stopped,quit_instr.keys,quit_instr.rt,quit_instr.duration,trial.started,cue_stim.started,fixation_stim.started,cue_stim.stopped,fixation_stim.stopped,probe_image.started,key_resp_probe.started,participant,session,date,expName,psychopyVersion,frameRate,sequence_good_key,sequence_bad_key,allowed_keys_list,expStart,
,,,,,,,,,,,,,,0.03232979999938834,0.05019899999933841,0.05019899999933841,0.5251694999997198,space,0.45963060000030964,None,,,,,,,,sub-001,001,2025-06-10_11h33.18.342,cued_mental_stim,2024.2.4,60.067419671674735,2,1,"['2', '1']",2025-06-10 11h33.21.731533 -0400,
3,backward,<- 4,stimuli/zebra_lure.png,1,0,0,0,0,0,0,86,0.5621431999998094,,,,,,,,,0.5535661999992953,0.5621431999998094,2.537689499999942,2.5708947999992233,12.536894999999276,13.737374099999215,13.737374099999215,,,,,,,,,,,
