thisN,thisTrialN,thisRepN,pair_name,stim1_img,stim2_img,key_resp.keys,key_resp.rt,key_resp.duration,target_img,probe_img,cue_text,is_match,end_probe_instr.keys,end_probe_instr.rt,end_probe_instr.duration,probe_resp_test.keys,probe_resp_test.rt,probe_resp_test.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,learn_images.thisRepN,learn_images.thisTrialN,learn_images.thisN,learn_images.thisIndex,probe_loop.thisRepN,probe_loop.thisTrialN,probe_loop.thisN,probe_loop.thisIndex,thisRow.t,notes,%_answer,instructions.started,instructions_main.started,instr_end.started,instructions.stopped,instr_end.keys,instr_end.rt,instr_end.duration,start_eeg.started,eeg_start_text.started,exit_eeg_text.started,start_eeg.stopped,exit_eeg_text.keys,exit_eeg_text.rt,exit_eeg_text.duration,instructions_learning.started,text.started,key_resp.started,instructions_learning.stopped,blocks_loop.key_resp.keys,blocks_loop.key_resp.rt,blocks_loop.key_resp.duration,image_load_2.started,Image_load_text.started,load_images_2.started,image_load_2.stopped,fix_learning.started,fix_learn_cross.started,fix_learn_cross.stopped,fix_learning.stopped,image_learn_1.started,first_of_pair.started,first_of_pair.stopped,image_learn_1.stopped,break_img_learn.started,break_random.started,break_random.stopped,break_img_learn.stopped,image_learn_2.started,second_of_pair.started,second_of_pair.stopped,image_learn_2.stopped,routine_5s_break.started,five_s_break.started,five_s_break.stopped,routine_5s_break.stopped,pair_stim_1,pair_stim_2,random_break_dur,probe_instr.started,probe_instr_text.started,end_probe_instr.started,probe_instr.stopped,blocks_loop.end_probe_instr.keys,blocks_loop.end_probe_instr.rt,blocks_loop.end_probe_instr.duration,image_loader.started,empty_text.started,image_load.started,image_loader.stopped,probe_cue.started,probe_cue_1.started,probe_cue.stopped,probe_imagination.started,imagination_woot.started,imagination_woot.stopped,probe_imagination.stopped,probe_test.started,prob_test_img.started,prob_test_img.stopped,probe_test.stopped,probe_resp.started,probe_resp_test.started,text_4.started,probe_resp.stopped,probe_loop.probe_resp_test.keys,probe_loop.probe_resp_test.rt,probe_loop.probe_resp_test.duration,probe_break.started,text_2.started,text_2.stopped,probe_break.stopped,target_image,probe_image,response_good_bad,response_given,response_rt,good_answer_counter,probe_cue_1.stopped,end_of_block.started,text_3.started,key_resp_2.started,end_of_block.stopped,blocks_loop.key_resp_2.keys,blocks_loop.key_resp_2.rt,blocks_loop.key_resp_2.duration,rest_instr.started,instr_rest_state.started,key_resp_3.started,rest_instr.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,rest_state.started,text_5.started,text_5.stopped,rest_state.stopped,end_exp.started,text_end.started,end_exp_1.started,end_exp.stopped,end_exp_1.keys,end_exp_1.rt,end_exp_1.duration,participant,session,date,expName,psychopyVersion,frameRate,sequence_good_key,sequence_bad_key,allowed_keys_list,expStart,
8,2,2,B_C,stimuli/ciseau.png,stimuli/face.png,space,0.2697588999290019,None,,,,,,,,,,,,,,0,0,0,0,2,2,8,1,,,,,85.98238059994765,,,,,,,,,,,,,,,,,,,,,,,,85.97418719995767,85.98238059994765,0.003817800199612975,86.29871209990233,86.2987312998157,86.3070467999205,,86.59016459994018,86.59114569984376,86.6028296998702,88.09482200001366,88.0864509998355,88.08653709990904,88.09482200001366,90.57656960003078,90.56842059991322,90.56944999983534,90.57656960003078,92.07349470001645,92.06551139988005,92.0656889998354,92.07349470001645,97.07325459993444,97.05752609996125,stimuli/ciseau.png,stimuli/face.png,2.4894540743284534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
0,0,0,,,,space,0.2697588999290019,None,stimuli/zèbre.png,stimuli/face.png,Qu'est-ce qui vient ensuite ?,non-match,space,0.7718622998800129,None,2,0.4650133999530226,None,,,,0,0,0,0,,,,,0,0,0,8,97.8567321000155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97.06612089998089,97.07325459993444,97.07325459993444,97.8487943999935,space,0.7718622998800129,None,97.85091469995677,97.8567321000155,0.0021108000073581934,98.15837930003181,98.1607882999815,98.16948909987696,102.1528538998682,102.15304060000926,102.1613733000122,103.65675610001199,103.64905879995786,103.65006449981593,103.65675610001199,105.65282019996084,105.64477319992147,105.64493960002437,105.65282019996084,105.65282019996084,106.12394229997881,2,0.4650133999530226,None,106.12406279984862,106.13203389989212,109.11386719997972,109.04734239983372,stimuli/zèbre.png,stimuli/face.png,1,2,0.2697588999290019,1,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
1,1,0,,,,space,0.2697588999290019,None,stimuli/zèbre.png,stimuli/ciseau.png,Qu'est-ce qui vient ensuite ?,match,space,0.7718622998800129,None,1,0.4214168000034988,None,,,,0,0,0,0,,,,,0,1,1,6,109.11386719997972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,109.04752869997174,109.11386719997972,0.00011429982259869576,109.35107079986483,109.35198669997044,109.35574879986234,113.34434770001099,113.34446749999188,113.35258059995249,115.32362369983457,115.31176640000194,115.31283359997906,115.32362369983457,117.31929759983905,117.31096729985438,117.31107159983367,117.31929759983905,117.31929759983905,117.74504149984568,1,0.4214168000034988,None,117.74518539989367,117.75430569984019,118.87314439984038,118.86556719988585,stimuli/zèbre.png,stimuli/ciseau.png,1,1,0.2697588999290019,2,113.35258059995249,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
2,2,0,,,,space,0.2697588999290019,None,stimuli/zèbre.png,stimuli/banane.png,Qu'est-ce qui vient ensuite ?,non-match,space,0.7718622998800129,None,2,0.7184162000194192,None,,,,0,0,0,0,,,,,0,2,2,5,118.87314439984038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,118.86577939987183,118.87314439984038,0.00010890001431107521,119.17347069992684,119.17436979990453,119.18172249989584,123.16548309987411,123.16560940002091,123.17322489991784,124.89003629982471,124.88206329988316,124.88305759988725,124.89003629982471,126.8861259999685,126.8775372998789,126.87771010003053,126.8861259999685,126.8861259999685,127.6076189999003,2,0.7184162000194192,None,127.60778829990886,127.61469079996459,129.25614359998144,129.24804029986262,stimuli/zèbre.png,stimuli/banane.png,1,2,0.2697588999290019,3,123.17322489991784,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
3,3,0,,,,space,0.2697588999290019,None,stimuli/zèbre.png,stimuli/ciseau.png,Qu'est-ce qui vient ensuite ?,match,space,0.7718622998800129,None,1,0.690702100051567,None,,,,0,0,0,0,,,,,0,3,3,10,129.25614359998144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,129.24824689980596,129.25614359998144,0.00011380016803741455,129.5566208998207,129.55749079980887,129.56451809988357,133.55229060002603,133.55239679990336,133.56103229988366,135.39654139988124,135.38961860002019,135.39060329995118,135.39654139988124,137.39373919996433,137.3858604999259,137.3859784998931,137.39373919996433,137.39373919996433,138.0861485998612,1,0.690702100051567,None,138.0863089999184,138.0939695998095,140.39776229998097,140.39003459992819,stimuli/zèbre.png,stimuli/ciseau.png,1,1,0.2697588999290019,4,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
4,4,0,,,,space,0.2697588999290019,None,stimuli/ciseau.png,stimuli/face.png,Qu'est-ce qui vient ensuite ?,match,space,0.7718622998800129,None,1,0.33539690007455647,None,,,,0,0,0,0,,,,,0,4,4,7,140.39776229998097,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,140.3902942999266,140.39776229998097,0.0001180002000182867,140.69815730000846,140.69903000001796,140.70636459998786,144.69016679981723,144.69027429982089,144.69828539993614,147.281621000031,147.27332889987156,147.27433229982853,147.281621000031,149.27708739996888,149.26923999981955,149.26935669989325,149.27708739996888,149.27708739996888,149.61899989983067,1,0.33539690007455647,None,149.6191389998421,149.62707359995693,152.54005840001628,152.53140580002218,stimuli/ciseau.png,stimuli/face.png,1,1,0.2697588999290019,5,144.69828539993614,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
5,5,0,,,,space,0.2697588999290019,None,stimuli/ciseau.png,stimuli/zèbre.png,Qu'est-ce qui vient ensuite ?,non-match,space,0.7718622998800129,None,2,0.4736345000565052,None,,,,0,0,0,0,,,,,0,5,5,2,152.54005840001628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,152.5316144998651,152.54005840001628,0.00011669984087347984,152.83996669994667,152.84090439998545,152.8481938999612,156.83540649991482,156.83553769998252,156.84368079993874,159.02721580001526,159.01887259981595,159.01986019988544,159.02721580001526,161.01909399987198,161.01093719992787,161.01103559997864,161.01909399987198,161.01909399987198,161.4940044998657,2,0.4736345000565052,None,161.49414399988018,161.5019362999592,164.2604193999432,164.2519090999849,stimuli/ciseau.png,stimuli/zèbre.png,1,2,0.2697588999290019,6,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
6,6,0,,,,space,0.2697588999290019,None,stimuli/face.png,stimuli/ciseau.png,Qu'est-ce qui vient ensuite ?,non-match,space,0.7718622998800129,None,2,0.39335979986935854,None,,,,0,0,0,0,,,,,0,6,6,11,164.2604193999432,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,164.25212839990854,164.2604193999432,0.00011579995043575764,164.56070319982246,164.56161989993416,164.56905910000205,168.55631190002896,168.55658979993314,168.5642545998562,169.9723573999945,169.96422449988313,169.96521639986895,169.9723573999945,171.96452409983613,171.95600269990973,171.9561284999363,171.96452409983613,171.96452409983613,172.36488379980437,2,0.39335979986935854,None,172.36501569999382,172.37244999990799,174.8165145998355,174.8062459998764,stimuli/face.png,stimuli/ciseau.png,1,2,0.2697588999290019,7,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
7,7,0,,,,space,0.2697588999290019,None,stimuli/face.png,stimuli/banane.png,Qu'est-ce qui vient ensuite ?,match,space,0.7718622998800129,None,1,0.9293476999737322,None,,,,0,0,0,0,,,,,0,7,7,1,174.8165145998355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,174.8065255000256,174.8165145998355,0.0001237001270055771,175.11446970002726,175.11538630002178,175.12269699992612,179.10612859996036,179.10622339998372,179.11451209988445,181.63912009983324,181.63125899992883,181.63230849988759,181.63912009983324,183.63515039999038,183.62706079985946,183.62718079984188,183.63515039999038,183.63515039999038,184.56950389989652,1,0.9293476999737322,None,184.56970379990526,184.5766354999505,186.7851658000145,186.7768761999905,stimuli/face.png,stimuli/banane.png,1,1,0.2697588999290019,8,179.11451209988445,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
8,8,0,,,,space,0.2697588999290019,None,stimuli/face.png,stimuli/banane.png,Qu'est-ce qui vient ensuite ?,match,space,0.7718622998800129,None,1,0.2856163999531418,None,,,,0,0,0,0,,,,,0,8,8,4,186.7851658000145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,186.77709929994307,186.7851658000145,0.00011809985153377056,187.08553659985773,187.0864657999482,187.09378789993934,191.07695339992642,191.07706309994683,191.08505629980937,192.25169710000046,192.24346589995548,192.24452259996906,192.25169710000046,194.24759179982357,194.23933439981192,194.23951759980991,194.24759179982357,194.24759179982357,194.5356304999441,1,0.2856163999531418,None,194.53575779986568,194.543443699833,196.36840669997036,196.360577999847,stimuli/face.png,stimuli/banane.png,1,1,0.2697588999290019,9,191.08505629980937,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
