thisN,thisTrialN,thisRepN,pair_name,stim1_img,stim2_img,key_resp.keys,key_resp.rt,key_resp.duration,target_img,probe_img,cue_text,is_match,end_probe_instr.keys,end_probe_instr.rt,end_probe_instr.duration,probe_resp_test.keys,probe_resp_test.rt,probe_resp_test.duration,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,learn_images.thisRepN,learn_images.thisTrialN,learn_images.thisN,learn_images.thisIndex,probe_loop.thisRepN,probe_loop.thisTrialN,probe_loop.thisN,probe_loop.thisIndex,thisRow.t,notes,%_answer,instructions.started,instructions_main.started,instr_end.started,instructions.stopped,instr_end.keys,instr_end.rt,instr_end.duration,start_eeg.started,eeg_start_text.started,exit_eeg_text.started,start_eeg.stopped,exit_eeg_text.keys,exit_eeg_text.rt,exit_eeg_text.duration,instructions_learning.started,text.started,key_resp.started,instructions_learning.stopped,blocks_loop.key_resp.keys,blocks_loop.key_resp.rt,blocks_loop.key_resp.duration,image_load_2.started,Image_load_text.started,load_images_2.started,image_load_2.stopped,fix_learning.started,fix_learn_cross.started,fix_learn_cross.stopped,fix_learning.stopped,image_learn_1.started,first_of_pair.started,first_of_pair.stopped,image_learn_1.stopped,break_img_learn.started,break_random.started,break_random.stopped,break_img_learn.stopped,image_learn_2.started,second_of_pair.started,second_of_pair.stopped,image_learn_2.stopped,routine_5s_break.started,five_s_break.started,five_s_break.stopped,routine_5s_break.stopped,pair_stim_1,pair_stim_2,random_break_dur,probe_instr.started,probe_instr_text.started,end_probe_instr.started,probe_instr.stopped,blocks_loop.end_probe_instr.keys,blocks_loop.end_probe_instr.rt,blocks_loop.end_probe_instr.duration,image_loader.started,empty_text.started,image_load.started,image_loader.stopped,probe_cue.started,probe_cue_1.started,probe_cue.stopped,probe_imagination.started,imagination_woot.started,imagination_woot.stopped,probe_imagination.stopped,probe_test.started,prob_test_img.started,prob_test_img.stopped,probe_test.stopped,probe_resp.started,probe_resp_test.started,text_4.started,probe_resp.stopped,probe_loop.probe_resp_test.keys,probe_loop.probe_resp_test.rt,probe_loop.probe_resp_test.duration,probe_break.started,text_2.started,text_2.stopped,probe_break.stopped,target_image,probe_image,response_good_bad,response_given,response_rt,good_answer_counter,probe_cue_1.stopped,end_of_block.started,text_3.started,key_resp_2.started,end_of_block.stopped,blocks_loop.key_resp_2.keys,blocks_loop.key_resp_2.rt,blocks_loop.key_resp_2.duration,rest_instr.started,instr_rest_state.started,key_resp_3.started,rest_instr.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,rest_state.started,text_5.started,text_5.stopped,rest_state.stopped,end_exp.started,text_end.started,end_exp_1.started,end_exp.stopped,end_exp_1.keys,end_exp_1.rt,end_exp_1.duration,participant,session,date,expName,psychopyVersion,frameRate,sequence_good_key,sequence_bad_key,allowed_keys_list,expStart,
9,9,0,,,,space,0.2697588999290019,None,stimuli/ciseau.png,stimuli/banane.png,Qu'est-ce qui vient ensuite ?,non-match,space,0.7718622998800129,None,1,0.28236030018888414,None,,,,0,0,0,0,,,,,0,9,9,0,196.36840669997036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196.36079189996235,196.36840669997036,0.000107599887996912,196.66835099994205,196.66927349986508,196.67695149988867,200.66432859981433,200.66445229994133,200.67263439996168,202.13888649991713,202.13120529986918,202.13218909990974,202.13888649991713,204.13034349982627,204.12236079992726,204.12286819983274,204.13034349982627,204.13034349982627,204.41911119990982,1,0.28236030018888414,None,204.41925309994258,204.426747799851,206.94371309992857,206.93505460000597,stimuli/ciseau.png,stimuli/banane.png,0,1,0.2697588999290019,9,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
10,10,0,,,,space,0.2697588999290019,None,stimuli/ciseau.png,stimuli/face.png,Qu'est-ce qui vient ensuite ?,match,space,0.7718622998800129,None,1,0.3553519998677075,None,,,,0,0,0,0,,,,,0,10,10,9,206.94371309992857,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,206.9352663999889,206.94371309992857,0.0001066999975591898,207.24475459987298,207.24562920001335,207.2515944999177,211.23895769985393,211.23942999984138,211.24735730001703,212.9136206000112,212.90526669984683,212.90628389990889,212.9136206000112,214.9057332999073,214.89748789998703,214.89759760000743,214.9057332999073,214.9057332999073,215.26430639997125,1,0.3553519998677075,None,215.26442669983953,215.27273159986362,218.23476199992,218.22675999999046,stimuli/ciseau.png,stimuli/face.png,1,1,0.2697588999290019,10,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
11,11,0,,,,space,0.2697588999290019,None,stimuli/face.png,stimuli/zèbre.png,Qu'est-ce qui vient ensuite ?,non-match,space,0.7718622998800129,None,2,0.6905247000977397,None,,,,0,0,0,0,,,,,0,11,11,3,218.23476199992,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218.22695569996722,218.23476199992,0.00010930001735687256,218.53489060001448,218.5358332998585,218.54319390002638,222.526438199915,222.52657699980773,222.53487319988199,224.51809869986027,224.50992399989627,224.51090529980138,224.51809869986027,226.51415029983036,226.50565849989653,226.50577389984392,226.51415029983036,226.51415029983036,227.20601199986413,2,0.6905247000977397,None,227.2061429999303,227.21359839988872,228.61828749999404,228.588885899866,stimuli/face.png,stimuli/zèbre.png,1,2,0.2697588999290019,11,222.53487319988199,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
0,0,0,,,,space,0.2697588999290019,None,,,,,space,0.7718622998800129,None,,,,space,1.5619276999495924,None,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,228.60847479989752,228.61828749999404,228.61828749999404,230.18122399994172,space,1.5619276999495924,None,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
0,0,0,A_B,stimuli/zèbre.png,stimuli/ciseau.png,space,0.9435361998621374,None,,,,,,,,,,,,,,1,0,1,0,0,0,0,0,,,,,231.14731839997694,,,,,,,,,,,,,,,,,230.1813313998282,230.18920999998227,230.18920999998227,231.13916659983806,space,0.9435361998621374,None,231.1413501999341,231.14731839997694,0.002175699919462204,231.44766009994783,231.44767839997075,231.4555581000168,231.74755079997703,231.73913619993255,231.7401070999913,231.74755079997703,233.24302109982818,233.23466049996205,233.23476969986223,233.24302109982818,234.61790109984577,234.60999239981174,234.61113759991713,234.61790109984577,236.1100142998621,236.10134689998813,236.10145649989136,236.1100142998621,241.09998539998196,241.0959840998985,stimuli/zèbre.png,stimuli/ciseau.png,1.3795050801354098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
1,1,0,C_D,stimuli/face.png,stimuli/banane.png,space,0.9435361998621374,None,,,,,,,,,,,,,,1,0,1,0,0,1,1,2,,,,,241.09998539998196,,,,,,,,,,,,,,,,,,,,,,,,241.09607379999943,241.09998539998196,0.002042599953711033,241.41699179983698,241.41700969985686,241.42109319986776,241.71277819992974,241.70448389998637,241.70545180002227,241.71277819992974,243.20961839985102,243.2013818998821,243.20146809983999,243.20961839985102,245.07214159984142,245.06062519992702,245.06164119997993,245.07214159984142,246.5582630999852,246.5554460999556,246.5555549999699,246.5582630999852,251.54573959996924,251.54171399981715,stimuli/face.png,stimuli/banane.png,1.863560738338989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
2,2,0,B_C,stimuli/ciseau.png,stimuli/face.png,space,0.9435361998621374,None,,,,,,,,,,,,,,1,0,1,0,0,2,2,1,,,,,251.54573959996924,,,,,,,,,,,,,,,,,,,,,,,,251.54180280002765,251.54951819987036,0.001650799997150898,251.86649109981954,251.86650819983333,251.87088599987328,252.16385250003077,252.1553169998806,252.156472499948,252.16385250003077,253.65954409982078,253.6513017998077,253.651432499988,253.65954409982078,256.03852989990264,256.0304548998829,256.03144179983065,256.03852989990264,257.53449599980377,257.5263455999084,257.52645409991965,257.53449599980377,262.5281754999887,262.5179096998181,stimuli/ciseau.png,stimuli/face.png,2.3825820293077147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
3,0,1,A_B,stimuli/zèbre.png,stimuli/ciseau.png,space,0.9435361998621374,None,,,,,,,,,,,,,,1,0,1,0,1,0,3,0,,,,,262.5281754999887,,,,,,,,,,,,,,,,,,,,,,,,262.51800739998,262.5281754999887,0.003844799939543009,262.8427122000139,262.8427299000323,262.851750300033,,263.1346281999722,263.13561049988493,263.1426970998291,264.6343340999447,264.6262244998943,264.6264301999472,264.6343340999447,267.12613429990597,267.11785719986074,267.11889209994115,267.12613429990597,268.6179402999114,268.60961419995874,268.6097299999092,268.6179402999114,273.6135676999111,273.60520290001296,stimuli/zèbre.png,stimuli/ciseau.png,2.4983390152294502,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
4,1,1,C_D,stimuli/face.png,stimuli/banane.png,space,0.9435361998621374,None,,,,,,,,,,,,,,1,0,1,0,1,1,4,2,,,,,273.6135676999111,,,,,,,,,,,,,,,,,,,,,,,,273.6052937998902,273.6135676999111,0.004103699931874871,273.9346451999154,273.9346650999505,273.94269689987414,,274.22196969995275,274.22300839982927,274.230089899851,275.7261939998716,275.7177863998804,275.7179046999663,275.7261939998716,277.4345509998966,277.4264075998217,277.4273896999657,277.4345509998966,278.9262176998891,278.91838949988596,278.9186031999998,278.9262176998891,283.92181509989314,283.91348149999976,stimuli/face.png,stimuli/banane.png,1.7126925686418883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
5,2,1,B_C,stimuli/ciseau.png,stimuli/face.png,space,0.9435361998621374,None,,,,,,,,,,,,,,1,0,1,0,1,2,5,1,,,,,283.92181509989314,,,,,,,,,,,,,,,,,,,,,,,,283.9135718999896,283.92181509989314,0.0032490999437868595,284.2385068000294,284.23852639994584,284.24693649983965,,284.53437759983353,284.5354518999811,284.54284320003353,286.0341042999644,286.02630559983663,286.0264753999654,286.0341042999644,288.66751739988104,288.6554985998664,288.65660889982246,288.66751739988104,290.1632854999043,290.1552921999246,290.15539089986123,290.1632854999043,295.15917250001803,295.1511811998207,stimuli/ciseau.png,stimuli/face.png,2.6322228061541972,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
6,0,2,A_B,stimuli/zèbre.png,stimuli/ciseau.png,space,0.9435361998621374,None,,,,,,,,,,,,,,1,0,1,0,2,0,6,0,,,,,295.15917250001803,,,,,,,,,,,,,,,,,,,,,,,,295.1512745998334,295.15917250001803,0.003541399957612157,295.4678172999993,295.4678356999066,295.4756222998258,,295.75922599993646,295.76016519987024,295.76762119983323,297.2634332999587,297.25529469992034,297.25540149980225,297.2634332999587,300.15102979983203,300.142267299816,300.14329909998924,300.15102979983203,301.6467823998537,301.6384811999742,301.6386515998747,301.6467823998537,306.6381762998644,306.6302554998547,stimuli/zèbre.png,stimuli/ciseau.png,2.8920051799096704,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
7,1,2,B_C,stimuli/ciseau.png,stimuli/face.png,space,0.9435361998621374,None,,,,,,,,,,,,,,1,0,1,0,2,1,7,1,,,,,306.6381762998644,,,,,,,,,,,,,,,,,,,,,,,,306.6303599998355,306.6381762998644,0.004396800184622407,306.95415230002254,306.9541735998355,306.9628047000151,,307.24673809995875,307.24770780000836,307.259182699956,,308.7462830999866,308.74639909993857,308.75476219994016,311.61723309988156,311.6092815999873,311.6106403998565,311.61723309988156,313.1091555999592,313.101097199833,313.1011932999827,313.1091555999592,318.10483209998347,318.09663459984586,stimuli/ciseau.png,stimuli/face.png,2.86823753008818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
8,2,2,C_D,stimuli/face.png,stimuli/banane.png,space,0.9435361998621374,None,,,,,,,,,,,,,,1,0,1,0,2,2,8,2,,,,,318.10483209998347,,,,,,,,,,,,,,,,,,,,,,,,318.09672879986465,318.10483209998347,0.003303400008007884,318.4216894998681,318.4217326999642,318.42954449984245,,318.7130294998642,318.71398919983767,318.7212813999504,320.21745130000636,320.2086675998289,320.20883859996684,320.21745130000636,322.44242369988933,322.4340578999836,322.43503589998,322.44242369988933,323.9376403999049,323.93014939990826,323.9302447999362,323.9376403999049,328.938512200024,328.9213000999298,stimuli/face.png,stimuli/banane.png,2.2321213621468607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
0,0,0,,,,space,0.9435361998621374,None,stimuli/zèbre.png,stimuli/face.png,Qu'est-ce qui vient ensuite ?,non-match,space,4.034210999961942,None,2,0.5632384999189526,None,,,,1,0,1,0,,,,,0,0,0,8,332.99186549987644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,328.92984959995374,328.938512200024,328.938512200024,332.97998059983365,space,4.034210999961942,None,332.9820055998862,332.99186549987644,0.002012199955061078,333.2923132998403,333.2932086000219,333.3002595999278,337.2837376999669,337.2838671999052,337.29178439988755,338.5503144999966,338.541899099946,338.5428838999942,338.5503144999966,340.5461132999044,340.5380632998422,340.53816709993407,340.5461132999044,340.5461132999044,341.11726829991676,2,0.5632384999189526,None,341.1173993998673,341.1250707998406,343.07953589991666,343.07130800001323,stimuli/zèbre.png,stimuli/face.png,1,2,0.9435361998621374,12,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
1,1,0,,,,space,0.9435361998621374,None,stimuli/ciseau.png,stimuli/banane.png,Qu'est-ce qui vient ensuite ?,non-match,space,4.034210999961942,None,2,0.8509620998520404,None,,,,1,0,1,0,,,,,0,1,1,0,343.07953589991666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,343.0715560999233,343.07953589991666,0.00011139991693198681,343.37977829994634,343.38068169984035,343.3877644999884,347.3715184000321,347.37164109991863,347.37982529983856,349.43940020003356,349.4294722999912,349.43050259980373,349.43940020003356,351.43322360003367,351.4253348999191,351.42545280000195,351.43322360003367,351.43322360003367,352.287919400027,2,0.8509620998520404,None,352.2880635999609,352.2960700998083,354.03749649995007,354.0295231998898,stimuli/ciseau.png,stimuli/banane.png,1,2,0.9435361998621374,13,347.37982529983856,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
2,2,0,,,,space,0.9435361998621374,None,stimuli/ciseau.png,stimuli/face.png,Qu'est-ce qui vient ensuite ?,match,space,4.034210999961942,None,1,0.32033069990575314,None,,,,1,0,1,0,,,,,0,2,2,9,354.03749649995007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,354.02972079999745,354.03749649995007,0.00010779988951981068,354.3384749998804,354.33940609986894,354.3458773000166,358.3337602999527,358.33387859980576,358.3418332999572,359.6166168998461,359.60868790000677,359.6096789999865,359.6166168998461,361.61260819993913,361.60451489989646,361.6046515998896,361.61260819993913,361.61260819993913,361.93796429992653,1,0.32033069990575314,None,361.9381128998939,361.9457987998612,364.7461894999724,364.7377108000219,stimuli/ciseau.png,stimuli/face.png,1,1,0.9435361998621374,14,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
3,3,0,,,,space,0.9435361998621374,None,stimuli/zèbre.png,stimuli/ciseau.png,Qu'est-ce qui vient ensuite ?,match,space,4.034210999961942,None,1,0.9948873000685126,None,,,,1,0,1,0,,,,,0,3,3,6,364.7461894999724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,364.73790750000626,364.7461894999724,0.0001097000204026699,365.04619769984856,365.04794149985537,365.05425399984233,369.03784989984706,369.0380267999135,369.04577399999835,371.6499147999566,371.64208459993824,371.6430538999848,371.6499147999566,373.64199919998646,373.63369229994714,373.63386539998464,373.64199919998646,373.64199919998646,374.6379229000304,1,0.9948873000685126,None,374.63804629980586,374.64576109987684,376.9206846000161,376.9130217998754,stimuli/zèbre.png,stimuli/ciseau.png,1,1,0.9435361998621374,15,369.04577399999835,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
4,4,0,,,,space,0.9435361998621374,None,stimuli/face.png,stimuli/zèbre.png,Qu'est-ce qui vient ensuite ?,non-match,space,4.034210999961942,None,2,0.3953466999810189,None,,,,1,0,1,0,,,,,0,4,4,3,376.9206846000161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,376.9132322999649,376.9206846000161,0.00011519994586706161,377.2207972998731,377.2217270999681,377.2288464999292,381.2164834998548,381.2165977000259,381.22521850001067,384.1456041999627,384.13724569999613,384.13842179998755,384.1456041999627,386.1373228998855,386.12919759983197,386.12930299993604,386.1373228998855,386.1373228998855,386.533271699911,2,0.3953466999810189,None,386.5333804998081,386.5418245999608,388.1873878999613,388.17883949982934,stimuli/face.png,stimuli/zèbre.png,1,2,0.9435361998621374,16,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
5,5,0,,,,space,0.9435361998621374,None,stimuli/face.png,stimuli/banane.png,Qu'est-ce qui vient ensuite ?,match,space,4.034210999961942,None,1,0.4601873999927193,None,,,,1,0,1,0,,,,,0,5,5,1,388.1873878999613,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,388.1791471999604,388.1873878999613,0.00011019990779459476,388.48692749999464,388.48818570002913,388.4960090999957,392.4834916999098,392.4837062000297,392.4910635999404,394.0228338998277,394.01241429988295,394.01342489989474,394.0228338998277,396.01662899996154,396.0086209999863,396.0087269998621,396.01662899996154,396.01662899996154,396.48342920001596,1,0.4601873999927193,None,396.48356890003197,396.490862299921,398.90368089987896,398.89574349997565,stimuli/face.png,stimuli/banane.png,1,1,0.9435361998621374,17,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
6,6,0,,,,space,0.9435361998621374,None,stimuli/ciseau.png,stimuli/zèbre.png,Qu'est-ce qui vient ensuite ?,non-match,space,4.034210999961942,None,2,0.5543823998887092,None,,,,1,0,1,0,,,,,0,6,6,2,398.90368089987896,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,398.8959499998018,398.90368089987896,0.0001150001771748066,399.2042920999229,399.2063620998524,399.21637339983135,403.199804399861,403.20003049983643,403.20794929983094,404.95971969980747,404.94983999989927,404.9509236998856,404.95971969980747,406.95403579995036,406.94561239983886,406.9457431000192,406.95403579995036,406.95403579995036,407.5126510998234,2,0.5543823998887092,None,407.51279539987445,407.5206625999417,410.445401399862,410.43703129980713,stimuli/ciseau.png,stimuli/zèbre.png,1,2,0.9435361998621374,18,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
7,7,0,,,,space,0.9435361998621374,None,stimuli/face.png,stimuli/banane.png,Qu'est-ce qui vient ensuite ?,match,space,4.034210999961942,None,1,0.24080900009721518,None,,,,1,0,1,0,,,,,0,7,7,4,410.445401399862,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,410.43722169985995,410.445401399862,0.00011259992606937885,410.74563999986276,410.74655989999883,410.7537723998539,414.73733329982497,414.73748419992626,414.74540150002576,416.3328929999843,416.324831899954,416.3258216998074,416.3328929999843,418.3243976000231,418.3163914999459,418.3165665999986,418.3243976000231,418.3243976000231,418.5671057999134,1,0.24080900009721518,None,418.5672396000009,418.5765715998132,419.7956113999244,419.78760159993544,stimuli/face.png,stimuli/banane.png,1,1,0.9435361998621374,19,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
8,8,0,,,,space,0.9435361998621374,None,stimuli/face.png,stimuli/ciseau.png,Qu'est-ce qui vient ensuite ?,non-match,space,4.034210999961942,None,2,0.4683737999293953,None,,,,1,0,1,0,,,,,0,8,8,11,419.7956113999244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,419.78779119998217,419.7956113999244,0.00011389981955289841,420.0994245999027,420.10035459999926,420.1077299998142,424.09136589989066,424.0915768998675,424.09943329985254,426.2161959998775,426.20818239985965,426.20915679982863,426.2161959998775,428.2080975000281,428.1998248999007,428.2000000998378,428.2080975000281,428.2080975000281,428.67942599998787,2,0.4683737999293953,None,428.6795639998745,428.6867876998149,430.0865697998088,430.0789626999758,stimuli/face.png,stimuli/ciseau.png,1,2,0.9435361998621374,20,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
9,9,0,,,,space,0.9435361998621374,None,stimuli/zèbre.png,stimuli/banane.png,Qu'est-ce qui vient ensuite ?,non-match,space,4.034210999961942,None,2,0.2962661001365632,None,,,,1,0,1,0,,,,,0,9,9,5,430.0865697998088,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,430.07918310002424,430.0865697998088,0.00011690007522702217,430.39103199983947,430.3920032000169,430.3996886999812,434.38254369981587,434.38274769997224,434.39102999982424,436.34120939997956,436.3327599999029,436.3337615998462,436.34120939997956,438.3327258999925,438.3243952000048,438.3244923998136,438.3327258999925,438.3327258999925,438.63305479986593,2,0.2962661001365632,None,438.6331925999839,438.64086849987507,440.78691309993155,440.7788781998679,stimuli/zèbre.png,stimuli/banane.png,1,2,0.9435361998621374,21,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
10,10,0,,,,space,0.9435361998621374,None,stimuli/zèbre.png,stimuli/ciseau.png,Qu'est-ce qui vient ensuite ?,match,space,4.034210999961942,None,1,0.3059410999994725,None,,,,1,0,1,0,,,,,0,10,10,10,440.78691309993155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,440.77956759999506,440.78691309993155,0.00012600002810359,441.0910254998598,441.09193949983455,441.09962220001034,445.0864732998889,445.08664519991726,445.0946892998181,447.1034232999664,447.0824674000032,447.0834544999525,447.1034232999664,,449.08264869987033,449.0827524999622,449.0908902999945,449.0908902999945,449.3996901998762,1,0.3059410999994725,None,449.39982329984196,449.4074428998865,451.4325317000039,451.42440589983016,stimuli/zèbre.png,stimuli/ciseau.png,1,1,0.9435361998621374,22,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
11,11,0,,,,space,0.9435361998621374,None,stimuli/ciseau.png,stimuli/face.png,Qu'est-ce qui vient ensuite ?,match,space,4.034210999961942,None,1,0.2752704001031816,None,,,,1,0,1,0,,,,,0,11,11,7,451.4325317000039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,451.4246104999911,451.4325317000039,0.0001129999291151762,451.7375520998612,451.7390332999639,451.7511093998328,455.72887949994765,455.7290880999062,455.73658769996837,457.9700469998643,457.9579443000257,457.95933969994076,457.9700469998643,459.9616788998246,459.95327359996736,459.9533732999116,459.9616788998246,459.9616788998246,460.24531379994005,1,0.2752704001031816,None,460.2454492999241,460.25320779997855,462.8535628998652,462.82452809996903,stimuli/ciseau.png,stimuli/face.png,1,1,0.9435361998621374,23,,,,,,,,,,,,,,,,,,,,,,,,,,,sub-098,001,2025-06-25_14h43.35.278,learn_probe,2024.2.4,240.02630686000353,1,2,"['1', '2']",2025-06-25 14h43.55.799519 -0400,
