pair_name,stim1_img,stim2_img,pair_name_raw,stim1_img_raw,stim2_img_raw,thisN_raw,thisRepN_raw,thisTrialN_raw
A_B,stimuli/scissor.png,stimuli/zebra.png,A_B,stimuli/scissor.png,stimuli/zebra.png,0,0,0
B_C,stimuli/zebra.png,stimuli/banana.png,C_D,stimuli/banana.png,stimuli/face.png,1,0,1
C_D,stimuli/banana.png,stimuli/face.png,B_C,stimuli/zebra.png,stimuli/banana.png,2,0,2

extraInfo
participant,sub-001
session,001
date,2025-06-10_11h51.56.246
expName,learn_probe
psychopyVersion,2024.2.4
frameRate,60.05670554132044
sequence_good_key,2
sequence_bad_key,1
allowed_keys_list,"['2', '1']"
expStart,2025-06-10 11h52.17.174643 -0400
