thisN,thisTrialN,thisRepN,pair_name,stim1_img,stim2_img,key_resp.keys,key_resp.rt,key_resp.duration,blocks_loop.thisRepN,blocks_loop.thisTrialN,blocks_loop.thisN,blocks_loop.thisIndex,learn_images.thisRepN,learn_images.thisTrialN,learn_images.thisN,learn_images.thisIndex,thisRow.t,notes,instructions.started,instructions_main.started,instr_end.started,instructions.stopped,instr_end.keys,instr_end.rt,instr_end.duration,instructions_learning.started,text.started,key_resp.started,instructions_learning.stopped,blocks_loop.key_resp.keys,blocks_loop.key_resp.rt,blocks_loop.key_resp.duration,fix_learning.started,fix_learn_cross.started,fix_learn_cross.stopped,fix_learning.stopped,image_learn_1.started,first_of_pair.started,first_of_pair.stopped,image_learn_1.stopped,break_img_learn.started,break_random.started,break_random.stopped,break_img_learn.stopped,image_learn_2.started,second_of_pair.started,image_learn_2.stopped,routine_5s_break.started,five_s_break.started,five_s_break.stopped,routine_5s_break.stopped,second_of_pair.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,,0.0024532999999991034,0.009028700000001777,0.009028700000001777,0.5983841000000041,space,0.5518861999999984,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,001,2025-06-09_10h25.57.897,learn_probe,2024.2.4,144.22272604026446,2025-06-09 10h26.04.146836 -0400,
0,0,0,A_B,stimuli/scissor.png,stimuli/zebra.png,space,0.3602432999999934,None,0,0,0,0,0,0,0,0,0.9676910999999961,,,,,,,,,0.5987425999999942,0.6004329999999953,0.6004329999999953,0.9616611999999947,space,0.3602432999999934,None,0.9645462000000009,0.9676910999999961,1.2664240999999947,1.2534014000000013,1.2606528000000026,1.2664240999999947,2.7609309999999994,2.7535503999999946,2.7535682000000037,2.7609309999999994,5.683657699999998,5.664460899999995,5.678167099999996,5.683657699999998,6.670834400000004,6.670852999999994,6.676679699999994,11.670293700000002,11.664538699999994,,2,001,2025-06-09_10h25.57.897,learn_probe,2024.2.4,144.22272604026446,2025-06-09 10h26.04.146836 -0400,
1,1,0,B_C,stimuli/zebra.png,stimuli/banana.png,space,0.3602432999999934,None,0,0,0,0,0,1,1,1,11.670293700000002,,,,,,,,,,,,,,,,11.664615400000002,11.670293700000002,11.969701200000003,11.956239199999999,11.9685676,11.969701200000003,13.462342000000007,13.4564175,13.456435900000002,13.462342000000007,16.3102885,16.02720860000001,16.300549599999997,16.3102885,17.032982399999995,17.032999000000004,17.039011300000013,,22.0278981,,2,001,2025-06-09_10h25.57.897,learn_probe,2024.2.4,144.22272604026446,2025-06-09 10h26.04.146836 -0400,
2,2,0,C_D,stimuli/banana.png,stimuli/face.png,space,0.3602432999999934,None,0,0,0,0,0,2,2,2,22.033078900000007,,,,,,,,,,,,,,,,22.02798589999999,22.033078900000007,22.602526300000008,22.319196399999996,22.595975999999993,22.602526300000008,,23.832479700000007,23.83249930000001,23.8383764,26.554704699999988,26.541662700000003,26.54811070000001,26.554704699999988,27.541428299999993,27.5414454,27.547379100000015,32.54127129999999,32.5361702,27.547379100000015,2,001,2025-06-09_10h25.57.897,learn_probe,2024.2.4,144.22272604026446,2025-06-09 10h26.04.146836 -0400,
3,0,1,C_D,stimuli/banana.png,stimuli/face.png,space,0.3602432999999934,None,0,0,0,0,1,0,3,2,32.54127129999999,,,,,,,,,,,,,,,,32.53628250000001,32.54127129999999,32.9096229,32.82745519999999,32.8959469,32.9096229,,34.347623799999994,34.3476433,34.353693500000006,36.63198759999999,36.6264106,36.629675500000005,36.63198759999999,37.6194301,37.61944899999999,37.6250443,42.61908580000001,42.6129279,37.6250443,2,001,2025-06-09_10h25.57.897,learn_probe,2024.2.4,144.22272604026446,2025-06-09 10h26.04.146836 -0400,
4,1,1,B_C,stimuli/zebra.png,stimuli/banana.png,,,,,,,,1,1,4,1,42.61908580000001,,,,,,,,,,,,,,,,42.61300379999999,42.61908580000001,42.9212112,42.90481580000001,42.92013100000001,42.9212112,44.417387500000004,44.4115254,44.41154379999999,44.417387500000004,47.2551615,46.9818394,47.25370539999999,47.2551615,,,,,,,,,,,,,,
